"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.000981000E0,-6.743054772E-3,-6.648133448E-3,1.842574596E-2,2.071652916E-2
1.010991000E0,-4.869268835E-3,-3.468084102E-3,9.895243049E-3,1.156084864E-2
1.021001000E0,-1.453983262E-3,-1.078891687E-2,2.112131238E-2,2.376183139E-2
1.031011000E0,-2.055661753E-5,-5.861486513E-3,1.199205458E-2,1.334791444E-2
1.041020000E0,6.056957105E-3,-4.488432370E-3,1.528579116E-2,1.704371338E-2
1.051030000E0,-6.494283155E-3,-2.790958257E-3,1.139446914E-2,1.340891825E-2
1.061040000E0,-1.182498867E-2,-1.911884202E-3,1.618509293E-2,2.013561251E-2
1.071050000E0,2.756651547E-3,-6.908494430E-3,1.888065934E-2,2.029299683E-2
1.081060000E0,-3.788739927E-3,-8.611194491E-3,2.172766864E-2,2.367696783E-2
1.091069000E0,-5.280848863E-3,-4.576606555E-3,1.723700702E-2,1.859965331E-2
1.101079000E0,-2.652781243E-3,-5.182049191E-3,1.169910908E-2,1.306751833E-2
1.111089000E0,7.815717347E-4,-4.453540938E-3,8.405957222E-3,9.544893822E-3
1.121099000E0,-2.714167871E-3,-6.282394677E-3,2.696677387E-2,2.782161180E-2
1.131109000E0,1.650897386E-3,-7.395028453E-3,1.947999895E-2,2.090172880E-2
1.141119000E0,-4.811527580E-4,-4.473380358E-3,2.561665177E-2,2.600875791E-2
1.151128000E0,-9.273620071E-3,-4.187360150E-3,2.082485855E-2,2.317776408E-2
1.161138000E0,-7.605391173E-3,-5.623870287E-3,1.094540298E-2,1.446622751E-2
1.171148000E0,-3.174142744E-3,-1.332361633E-2,7.654005289E-4,1.371786326E-2
1.181158000E0,-8.939314652E-3,-7.981746295E-3,1.438531995E-2,1.872316881E-2
1.191168000E0,-9.558690106E-3,-3.881674111E-3,3.114987195E-2,3.281387622E-2
1.201178000E0,-4.171988368E-4,7.273557116E-3,1.992497206E-2,2.121516438E-2
1.211187000E0,-4.801824857E-3,-8.148734551E-4,9.445592165E-3,1.062735866E-2
1.221197000E0,-9.414181653E-3,-2.986611575E-3,8.697733283E-3,1.316044183E-2
1.231207000E0,8.271526080E-4,1.412531985E-3,1.962676406E-2,1.969490532E-2
1.241217000E0,-2.604934573E-4,-7.482946822E-3,1.453676283E-2,1.635175292E-2
1.251227000E0,-5.890704319E-3,-3.062122883E-3,1.588220716E-2,1.721399135E-2
1.261236000E0,-1.003399565E-2,8.800333645E-4,1.408477306E-2,1.731578354E-2
